Code,Name,Officialname,Registration_number,Keph level,Facility type,Facility_type_category,Owner,Owner type,Regulatory body,Beds,Cots,County,Constituency,Sub county,Ward,Operation status,Open_whole_day,Open_public_holidays,Open_weekends,Open_late_night,Service_names,Approved,Public visible,Closed
None,Longewan,Longewan,0000,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Baringo,Baringo South,Marigat,Iichamus,Operational,No,Yes,Yes,Yes,,Yes,Yes,No
26314,Maoi Dispensary,MAOI,0000,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Pharmacy & Poisons Board,0,0,Baringo,Baringo South,Marigat,Marigat,Operational,No,No,No,No,,Yes,Yes,No
26315,Deep White Dental Clinic,Deep White Dental Clinic,004081,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,0,0,Nakuru,Nakuru Town East,Nakuru East,Biashara,Operational,No,No,Yes,No,,Yes,Yes,No
None,Namirembe Dispensary,Namirembe Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Bungoma,Kanduyi,Kanduyi,Bukembe West,Operational,No,No,No,No,,Yes,Yes,No
None,St. John Memorial Medical Center,St. John Memorial Medical Center,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,0,0,Nakuru,Bahati,Nakuru North,Dundori,Operational,No,No,Yes,No,,Yes,Yes,No
None,Newgates Medicare Clinic,Newgates Medicare Clinic,017383,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,0,0,Kisii,Bonchari,Bonchari,Bomorenda,Operational,No,No,No,No,,Yes,Yes,No
26261,Kibagenge Dispensary Baringo,Kibagenge Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,None,0,0,Baringo,Baringo South,Marigat,Mochongoi,Operational,No,No,No,No,,Yes,Yes,No
26298,Moyeni Dispensary,Moyeni Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,1,Kwale,Kinango,Kinango,Kinango,Operational,No,No,No,No,,Yes,Yes,No
26305,Philo Medical Clinic(Naivasha),Philo Medical Clinic(Naivasha),017025,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Kenya MPDB,0,0,Nakuru,Naivasha,Naivasha,Lake View,Operational,No,Yes,Yes,No,,Yes,Yes,No
None,Acacia Medical Clinic,Acacia Medical Clinic,0000,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Pharmacy & Poisons Board,1,1,Baringo,Tiaty,Tiaty East,Tangulbei/Korossi,Operational,No,No,No,No,,Yes,Yes,No
26303,Keriwok Dispensary,Keriwok Dispensary,0000,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Pharmacy & Poisons Board,6,4,Baringo,Tiaty,Tiaty East,Tangulbei/Korossi,Operational,No,No,No,No,,Yes,Yes,No
26240,Nakaja Medical Diagnostic Centre,Nakaja Medical Diagnostic Centre,017568,Level 2,Medical Center,MEDICAL CENTER,Private Practice Lab Technician/Technologist,Private Practice,"Kenya Medical Laboratory, Tech & Technologists Board",0,0,Baringo,Baringo Central,Baringo Central,Kabarnet,Operational,No,No,No,No,,Yes,Yes,No
26236,Riosiri Centre Medical Clinic-Rongo,Riosiri Centre Medical Clinic-Rongo,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,None,0,0,Migori,Rongo,Rongo,Central Kamagambo,Operational,No,No,No,Yes,,Yes,Yes,No
26307,Putoro Disp-Holy Ghost Fathers,Putoro Disp-Holy Ghost Fathers,0000,Level 2,Dispensary,DISPENSARY,Other Faith Based,Faith Based Organization,Pharmacy & Poisons Board,6,4,Baringo,Tiaty,Tiaty East,Churo/Amaya,Operational,No,No,No,No,,Yes,Yes,No
26309,kigonor Dispensary,kigonor Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,None,1,0,Nakuru,Nakuru Town West,Nakuru West,Barut,Operational,No,No,No,No,,Yes,Yes,No
26235,The Tseikuru Geliad Medical Centre,The Tseikuru Geliad Medical Centre,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Kenya MPDB,2,0,Kitui,Mwingi North,Mwingi North,Tseikuru,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No
26304,Mary Camilas Medical clinic,Mary Camilas Medical clinic,4/1/6/5B,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Kenya MPDB,1,1,Nakuru,Nakuru Town West,Nakuru West,Rhoda,Operational,No,No,Yes,No,,Yes,Yes,No
None,Beajon Medical clinic,Beajon Medical clinic,017146,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,2,2,Nakuru,Nakuru Town West,Nakuru West,Kaptembwo,Operational,No,No,Yes,No,,Yes,Yes,No
26220,Mogweko Dispensary,Mogweko Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,2,0,Kisii,Nyaribari Masaba,Nyaribari Masaba,Kiamokama,Operational,No,No,Yes,No,,Yes,Yes,No
